검색어,주소
숙자네숟가락젓가락 구좌읍세화본점,제주 제주시 구좌읍 세평항로 45-2 1층 숙자네숟가락젓가락
으뜨미,제주 제주시 구좌읍 중산간동로 2287 (송당리 중산간동로 2287)
우정원베이커리 제주삼나무점,제주 제주시 구좌읍 송당동2길 7-39
제주삼다장,제주 제주시 구좌읍 비자숲길 15 제주삼다장
이춘옥원조고등어쌈밥 월정리김녕구좌읍점,제주 제주시 구좌읍 월정중길 19-11 1층
코코하 카카오패밀리,제주 제주시 구좌읍 구좌로 60 1층
김녕에사는김영훈,제주 제주시 구좌읍 김녕로6길 2 1층
동복해녀식당 구좌본점,제주 제주시 구좌읍 동복로 5
카페마요피,제주 제주시 구좌읍 하도동길 27-38 1층
월정타코마씸,제주 제주시 구좌읍 해맞이해안로 474 타코마씸
배롱개,제주 제주시 구좌읍 해맞이해안로 434
정민이네갈치 월정리본점,제주 제주시 구좌읍 월정3길 53-17 2층
종달리 늘보의작업실,제주 제주시 구좌읍 종달로1길 36-1 1층 늘보의 작업실
월정리 해녀식당 제주구좌김녕세화본점,제주 제주시 구좌읍 해맞이해안로 434 월정해녀식당
백구옥,제주 제주시 구좌읍 해맞이해안로 1146-4 단독주택
돈구어 구좌 세화,제주 제주시 구좌읍 세평항로 38 1층 돈구어
세화그때그집,제주 제주시 구좌읍 세평항로 43 1층
스타벅스 제주세화DT점,제주 제주시 구좌읍 일주동로 3121
섭섭이네,제주 제주시 구좌읍 중산간동로 2261 1층
꾸덕제과 제주점,제주 제주시 구좌읍 해맞이해안로 466 1층
돌담너머당근,제주 제주시 구좌읍 대수길 22
메밀의고향 구좌세화점,제주 제주시 구좌읍 세화남1길 1
갯동산평대바당국수,제주 제주시 구좌읍 평대7길 55
노기 제주,제주 제주시 구좌읍 세화남길 18 1층
말젯문,제주 제주시 구좌읍 계룡길 31 회색지붕 돌집
달치즈 구좌세화점,제주 제주시 구좌읍 해녀박물관길 35 제주시 구좌읍 세화리1476-12 달치즈 카페
연미정,제주 제주시 구좌읍 세평항로 14 연미정
소금바치 순이네,제주 제주시 구좌읍 해맞이해안로 2196
김녕 챗,제주 제주시 구좌읍 김녕로 93 1층
비자림국수집,제주 제주시 구좌읍 비자숲길 46 비자림국수집
여기고씨네 제주구좌월정리점,제주 제주시 구좌읍 해맞이해안로 820 1동 1층
인손,제주 제주시 구좌읍 세화4길 10 1층 인손
월정리갈비밥,제주 제주시 구좌읍 월정7길 46
레이오버,제주 제주시 구좌읍 해맞이해안로 648
곰막식당,제주 제주시 구좌읍 구좌해안로 64
카페 청굴물,제주 제주시 구좌읍 김녕로1길 75-1 1층 카페청굴물
민지네국수,제주 제주시 구좌읍 월정5길 33 1층
장안해물보말칼국수,제주 제주시 구좌읍 김녕로 173
고사리커피,제주 제주시 구좌읍 중산간동로 2064
가름물,제주 제주시 구좌읍 해맞이해안로 442 1층
파리바게뜨 동화마을,제주 제주시 구좌읍 비자림로 1193 1층
무슈부부커피스탠드 오리진,제주 제주시 구좌읍 구좌로 53 1층
세화 돌담칼국수,제주 제주시 구좌읍 해녀박물관길 33-1 돌담칼국수 세화점
카페리 구좌 카페 평대리해변 세화 소품샵,제주 제주시 구좌읍 평대2길 39 1층
"우연히, 그 곳",제주 제주시 구좌읍 중산간동로 2250 1층
호자,제주 제주시 구좌읍 세화8길 7 1층
항아리조림,제주 제주시 구좌읍 세화3길 32 1층항아리조림
제주흑돼지풍화로 김녕구좌,제주 제주시 구좌읍 김녕로21길 9 1층
릴로,제주 제주시 구좌읍 하도13길 63 릴로
종달리 카페 디사이드온,제주 제주시 구좌읍 종달로1길 123
떡하니 문어떡볶이,제주 제주시 구좌읍 행원로9길 9-5
먀,제주 제주시 구좌읍 하도1길 37 미스유얼웨이즈
종달사거리,제주 제주시 구좌읍 종달논길 62-1 1층
차한모금,제주 제주시 구좌읍 비자숲길 21 검은색 건물
돈사돈 제주월정리점,제주 제주시 구좌읍 한동북1길 29-3
비자림길 구좌점,제주 제주시 구좌읍 비자림로 2682
마레1440,제주 제주시 구좌읍 해맞이해안로 1440 1층 2층
제주오름밥상,제주 제주시 구좌읍 비자림로 1220 1층 제1호
치저스,제주 제주시 구좌읍 비자림로 1785
일미도,제주 제주시 구좌읍 면수길 52-1 일미도
고기굽는해녀 구좌흑돼지,제주 제주시 구좌읍 한동로1길 25 1층
오스모시스,제주 제주시 구좌읍 해맞이해안로 1026 주1동 1층
평대 바당반점,제주 제주시 구좌읍 해맞이해안로 1140 1층 평대바당반점
세화피크닉,제주 제주시 구좌읍 해맞이해안로 1460 별관 1층
갈치공장,제주 제주시 구좌읍 해맞이해안로 1296 1층
제주청년회 구좌본점,제주 제주시 구좌읍 해맞이해안로 2276
세화워케이션 질그랭이 거점센터,제주 제주시 구좌읍 세평항로 46-9
구좌 종달리카페 공회당,제주 제주시 구좌읍 종달로5길 33-1 공회당
평대스낵,제주 제주시 구좌읍 대수길 26
풍림다방 커피로스터즈 송당,제주 제주시 구좌읍 중산간동로 2267-4 풍림다방 송당점
모다정,제주 제주시 구좌읍 세평항로 26 모다정
세모,제주 제주시 구좌읍 행원로 121
시시소소,제주 제주시 구좌읍 중산간동로 2247 카페 시시소소
바람벽에 흰당나귀,제주 제주시 구좌읍 동복로 11 카페바람벽에흰당나귀 (동복리휴게소 정류장 앞 건물)
김녕회관,제주 제주시 구좌읍 김녕로 170 1층
버거캐럿 구좌월정리점,제주 제주시 구좌읍 월정중길 30 1층
오트하우스,제주 제주시 구좌읍 종달로1길 117 1층
그초록,제주 제주시 구좌읍 행원로7길 23-16 1층(바닷가앞)
모어모어,"제주 제주시 구좌읍 해맞이해안로 1616 지하1층 ,1층"
비자림 만나책방,제주 제주시 구좌읍 비자숲길 13 5동
세화카페 까르네,제주 제주시 구좌읍 상하도길 39-1
돌담통닭 본점,제주 제주시 구좌읍 세평항로 47 1층
평대앓이 구좌 평대리,제주 제주시 구좌읍 비자림로 2718-3 1층
촌촌해녀촌,제주 제주시 구좌읍 동복로 35
수니테이블,제주 제주시 구좌읍 문주란로 33-1
일품순두부 세화점,"제주 제주시 구좌읍 해맞이해안로 1426 1층, 장가네 일품순두부 세화점"
김녕빵집,제주 제주시 구좌읍 김녕로 77-3
모메존,제주 제주시 구좌읍 구좌해안로 202 1층
초밥공장,제주 제주시 구좌읍 월정3길 7 1층
도우보이,제주 제주시 구좌읍 비자림로 2136 1층
송당회관,제주 제주시 구좌읍 중산간동로 2240 1층 송당회관
명리동식당 세화구좌직영점,제주 제주시 구좌읍 일주동로 3010-17 명리동식당 구좌점
인카페온더비치,제주 제주시 구좌읍 해맞이해안로 943
구씨커피로스터스,제주 제주시 구좌읍 구좌로 21 1층
"세화카페마티에르, matiere",제주 제주시 구좌읍 세화8길 3
월스낵,제주 제주시 구좌읍 월정1길 70-5 1층
알이즈웰,제주 제주시 구좌읍 세송로 43
제주로움,제주 제주시 구좌읍 월정3길 16 1층 제주로움
이태리부부,제주 제주시 구좌읍 중산간동로 2143 1층
종달달,제주 제주시 구좌읍 종달로 60-12 1층
바당지기 월정점,제주 제주시 구좌읍 해맞이해안로 480
미광국수,제주 제주시 구좌읍 종달로1길 8 1층
다래향 세화점,제주 제주시 구좌읍 세화1길 4 1층
밀비스트로 제주,제주 제주시 구좌읍 면수길 26 2동 1층
탐앤탐스 김녕아쿠아점,제주 제주시 구좌읍 일주동로 1921 1층
슬슬슬로우,제주 제주시 구좌읍 덕행로 207 1층
평대여카페,제주 제주시 구좌읍 해맞이해안로 1208 2층
카페 글렌코,제주 제주시 구좌읍 비자림로 1202
월정리 유메이우동,제주 제주시 구좌읍 월정3길 52 월정리 유메이우동
쿠쿤,제주 제주시 구좌읍 평대2길 17 C동 1층
달이뜨는식탁 구좌 월정리 본점,제주 제주시 구좌읍 월정1길 14 달이뜨는식탁
카페잔잔한,제주 제주시 구좌읍 평대5길 31-29 1층
델문도 김녕점,제주 제주시 구좌읍 해맞이해안로 140
종달미소,제주 제주시 구좌읍 종달로 60-15
종달여행,제주 제주시 구좌읍 종달로5길 3
해산물한접시,제주 제주시 구좌읍 해맞이해안로 2234 1층
종달리엔심야식당,제주 제주시 구좌읍 종달로7길 15
윤스타피자앤파스타,제주 제주시 구좌읍 문주란로1길 74-20
후래자삼배,제주 제주시 구좌읍 세평항로 44 상가
청춘당찹쌀꽈배기 김녕점,제주 제주시 구좌읍 김녕로 70-1 1층
월정주가,제주 제주시 구좌읍 월정1길 17 1층
용수산회포장,제주 제주시 구좌읍 동복로 105 양어장 건물
이런날엔,제주 제주시 구좌읍 해맞이해안로 1000 2층 이런날엔
브라운커피,제주 제주시 구좌읍 김녕로17길 14 1층
바다는김녕,제주 제주시 구좌읍 김녕로21길 25 가동
당근과깻잎,제주 제주시 구좌읍 비자림로 2244 1층
구좌 비자림미담 월정리세화,제주 제주시 구좌읍 비자숲길 13 6동
사계절팟타이,제주 제주시 구좌읍 구좌로 35 1층
어멍이해녀,제주 제주시 구좌읍 해맞이해안로 2244
마노아,제주 제주시 구좌읍 중산간동로 2124 1층 카페 마노아
대복해장국,제주 제주시 구좌읍 김녕로 132
예원,제주 제주시 구좌읍 비자림로 2542
김녕 나루터,제주 제주시 구좌읍 김녕로 147
술의식물원,제주 제주시 구좌읍 중산간동로 2253
카페공작소,제주 제주시 구좌읍 해맞이해안로 1446 1층
김녕준치펍,제주 제주시 구좌읍 김녕로1길 89-8 2층
구좌 우럭튀김 민경이네어등포식당,제주 제주시 구좌읍 해맞이해안로 830 민경이네 어등포해녀촌
송당의 아침,제주 제주시 구좌읍 중산간동로 2254 식빵 창문 집
비자향,제주 제주시 구좌읍 비자림로 2270
버거킹 제주세화점,제주 제주시 구좌읍 일주동로 3126
부이크브루어스,제주 제주시 구좌읍 행원로9길 4 부이크브루어스
라마네 의식주,제주 제주시 구좌읍 중산간동로 2117 1층
플레이스엉물,제주 제주시 구좌읍 종달논길 92 1층
소라횟집,제주 제주시 구좌읍 해맞이해안로 1240-3 1층소라횟집
김녕미항,제주 제주시 구좌읍 구좌해안로 214 1층
브라보커피웍스 제주세화점,제주 제주시 구좌읍 세화11길 8 1층
미스터밀크 송당,제주 제주시 구좌읍 비자림로 1195 1층 미스터밀크 송당
동복리해녀잠수촌,제주 제주시 구좌읍 구좌해안로 32
고슬고슬 제주 월정리점,제주 제주시 구좌읍 월정1길 101 1층
하도작은식당,제주 제주시 구좌읍 하도13길 62-9 하도작은식당
탐나는문어 하도점,제주 제주시 구좌읍 해맞이해안로 1852 하도리355번지
종달리746,제주 제주시 구좌읍 종달동길 29-9 1F 북카페 종달리746
음식이탐나,제주 제주시 구좌읍 송당서3길 15-11 음식이탐나
올위켄드,제주 제주시 구좌읍 비자림로 2281-43
모산봉,제주 제주시 구좌읍 김녕로 132
테네시테이블,제주 제주시 구좌읍 세화11길 11 1층
세화 구좌모메존흑돼지,제주 제주시 구좌읍 세화1길 17
구좌 만물식당 월정리세화,제주 제주시 구좌읍 세평항로 46-6
정육면체 제주점,제주 제주시 구좌읍 동복로 68-1 1층
해녀마을쉼터,제주 제주시 구좌읍 김녕항3길 32-2
백암숯불집,제주 제주시 구좌읍 해맞이해안로 1402 1층 백암숯불집
아사라베이커리카페,제주 제주시 구좌읍 월정3길 16 2층
자아시로,제주 제주시 구좌읍 월정1길 1 자아시로
좀녀네집,제주 제주시 구좌읍 김녕리 6145
살찐고등어,제주 제주시 구좌읍 해맞이해안로 1708
평대전복,제주 제주시 구좌읍 해맞이해안로 1254-2
월정리에서브런치 2호점,제주 제주시 구좌읍 월정3길 53-2 2층
하카츠,제주 제주시 구좌읍 구좌로 34 1층
월정리곳간,제주 제주시 구좌읍 해맞이해안로 584-2 월정리곳간
르바게트,제주 제주시 구좌읍 월정1길 30 Le Baguette
백록오름,제주 제주시 구좌읍 김녕로 102-1
로타리식당,제주 제주시 구좌읍 중산간동로 2266
송당퐁닭 제주본점,제주 제주시 구좌읍 중산간동로 2281-3
스테이지 버거,제주 제주시 구좌읍 해맞이해안로 2361 스테이지하우스
송당해장국,제주 제주시 구좌읍 중산간동로 2270
얌얌돈가스,제주 제주시 구좌읍 구좌로 44
모닥식탁,제주 제주시 구좌읍 한동로 136
카페인사리,제주 제주시 구좌읍 일주동로 2806 2층
해맞이쉼터,제주 제주시 구좌읍 해맞이해안로 1116 해맞이쉼터
시타북빠 세화해변 청음 북카페,제주 제주시 구좌읍 평대13길 44 1층
토끼썸,제주 제주시 구좌읍 해맞이해안로 1860 토끼썸
제프,제주 제주시 구좌읍 김녕로 77-7 1층
모래비 커피로스터스 & 베이커리,제주 제주시 구좌읍 해맞이해안로 462 모래비카페
카페테리아 데 코코하,제주 제주시 구좌읍 구좌로 57-1 1층
탐나는 도새기 구좌세화본점,제주 제주시 구좌읍 세평항로 22 1층
속솜,제주 제주시 구좌읍 해맞이해안로 1655
비지곶식당,제주 제주시 구좌읍 일주동로 3002
송당머글래,제주 제주시 구좌읍 중산간동로 2245-1
"되도록 채식, 칠분의오",제주 제주시 구좌읍 해맞이해안로 650-20 111동 1층
바람에스치운다,제주 제주시 구좌읍 문주란로 121-1 1층
카페깃든,제주 제주시 구좌읍 해맞이해안로 990-2
탐라는오리닭,제주 제주시 구좌읍 일주동로 2963 1층
김녕음악사,제주 제주시 구좌읍 김녕로1길 21 김녕음악사
커피러스트,제주 제주시 구좌읍 중산간동로 1863 1층
종가전복,제주 제주시 구좌읍 해맞이해안로 1296 1층
삼춘네국수 구좌월정리세화점,제주 제주시 구좌읍 세평항로 26
DORIP,제주 제주시 구좌읍 행원로5길 33 DORIP
시간을담다 구좌읍 세화리 평대리 카페,제주 제주시 구좌읍 평대7길 20-1
평대여초밥,제주 제주시 구좌읍 해맞이해안로 1208 1층
가비오타카페,제주 제주시 구좌읍 해맞이해안로 2030 가동
카페 스누피,제주 제주시 구좌읍 금백조로 916 스누피 가든
하토우 커피 로스터스,제주 제주시 구좌읍 구좌로 188-1 1층
BHC치킨 제주세화점,제주 제주시 구좌읍 세평항로 16 1층
더모먼트김녕,"제주 제주시 구좌읍 김녕로22길 3 1, 2층"
우드스탁,제주 제주시 구좌읍 해맞이해안로 468 2층
카페씨닉,제주 제주시 구좌읍 해맞이해안로 402 1층
김녕제주흑돼지정육점식당,제주 제주시 구좌읍 김녕로4길 28 1층
카페 빈광덕,"제주 제주시 구좌읍 구좌로 56 1층, 2층"
또옵서식당,제주 제주시 구좌읍 해맞이해안로 7-6 나동 1층
까망도그 김녕구좌,제주 제주시 구좌읍 김녕로21길 23 1층
구좌 종달아구찜,제주 제주시 구좌읍 종달논길 48
순희밥상,제주 제주시 구좌읍 종달로5길 38
밭담 초밥,제주 제주시 구좌읍 행원로5길 35-20 1층 밭담
다시버시,제주 제주시 구좌읍 해맞이해안로 1406 다시버시
월정해상,제주 제주시 구좌읍 월정3길 51 1동
한울타리한우 정육식당 송당,제주 제주시 구좌읍 송당서길 5 제주시 구좌읍 송당리 1605-1
달책빵,제주 제주시 구좌읍 대수길 10-12
보통,제주 제주시 구좌읍 덕평로 309 3동1층
맘스터치 제주세화점,제주 제주시 구좌읍 구좌로 91 1층
그계절,제주 제주시 구좌읍 한동로 119 1동
별방촌,제주 제주시 구좌읍 해맞이해안로 1480
제주 고래날다 월정리본점,제주 제주시 구좌읍 월정3길 53-7 1층 제주 고래날다 월정리본점
세화카페텐더럽,제주 제주시 구좌읍 해맞이해안로 1426 2층
대수굴식당,제주 제주시 구좌읍 대수길 10-4
머물다,제주 제주시 구좌읍 월정중길 20 1층
그릉그릉 파스타가게,제주 제주시 구좌읍 구좌로 31
밥에제주를담다,제주 제주시 구좌읍 해맞이해안로 2060-20 아모르하우스 1층 밥에제주를담다
매코롬,제주 제주시 구좌읍 김녕로 82 1층
제주황금콩밭,제주 제주시 구좌읍 한동북1길 4 1층
송당산들네,제주 제주시 구좌읍 대천서길 11-8 1층
별방정식,제주 제주시 구좌읍 해맞이해안로 1744-8 1층
간조 제주세화,제주 제주시 구좌읍 구좌로 34 1층
지미씨네,"제주 제주시 구좌읍 하도15길 107-6 1층, 지미씨네"
,
,
,
,
,
,
,
,
,
,제주
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,1층
